법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
창신동,두산,6,232,59.95,"59,500",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,MID그린(6동),2,601-7,59.04,"20,000",2002,37.5776032,127.0097354,서일문화예술고등학교,335,창신역 6호선,530,롯데슈퍼프레시 대학로점,618,알 수 없음,1.11101E+13,1,8
창신동,두산,13,232,59.95,"60,000",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,두산,14,232,84.9,"85,000",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,창신쌍용2,12,703,54.7,"41,000",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,동대문맨션,5,578-5,83.83,"32,000",1973,37.5724054,127.0110298,서울창신초등학교,493,동대문역 1호선,88,노브랜드 동대문두타몰점,429,LH,1.11101E+13,1,9
창신동,MID그린(2동),4,601-1,59.26,"29,000",2002,37.5779881,127.0097925,서일문화예술고등학교,307,창신역 6호선,511,롯데슈퍼프레시 대학로점,597,알 수 없음,1.11101E+13,1,7
창신동,덕산,3,639-50,59.28,"25,500",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,창신쌍용2,11,703,64.66,"50,000",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,동대문,3,328-17,28.8,"34,100",1966,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,1.11101E+13,1,6
창신동,창신쌍용2,4,703,64.66,"47,500",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,창신쌍용1,5,702,54.7,"31,000",1992,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,1.11101E+13,5,14
창신동,창신쌍용1,1,702,106.62,"68,500",1992,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,1.11101E+13,5,14
창신동,덕산,3,639-50,59.28,"25,500",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,덕산,2,639-50,59.22,"33,000",1999,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,1.11101E+13,1,6
창신동,MID그린(8동),4,602-1,59.94,"28,000",2002,37.577358,127.009911,서일문화예술고등학교,340,창신역 6호선,527,롯데슈퍼프레시 대학로점,647,알 수 없음,1.11101E+13,1,7
창신동,창신쌍용2,4,703,79.87,"57,300",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,일우,4,602,59.3,"31,000",2002,37.5773402,127.0096976,서일문화예술고등학교,355,창신역 6호선,545,롯데슈퍼프레시 대학로점,634,알 수 없음,1.11101E+13,1,6
창신동,두산,5,232,59.95,"62,300",1999,37.574221,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,1.11101E+13,3,23
창신동,브라운스톤창신,14,23-76,84.67,"69,700",2006,37.5773845,127.0150474,서울창신초등학교,165,창신역 6호선,226,홈플러스익스프레스 숭인점,411,알 수 없음,1.11101E+13,1,15
