법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
무악동,현대,5,82,84.92,"108,900",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,9,82,84.92,"109,990",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,6,82,84.92,"112,400",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,9,82,84.92,"118,900",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,18,82,84.92,"123,460",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,10,82,84.92,"124,950",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,14,82,84.92,"126,990",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,19,82,84.92,"137,990",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,10,82,114.9,"139,950",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,10,82,114.9,"140,000",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,5,82,114.9,"150,000",2000,2022,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
사직동,광화문스페이스본(101동~105동),5,9,95.88,"134,000",2008,2021,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),8,9,94.51,"138,000",2008,2021,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),8,9,94.51,"143,000",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),5,9,108.07,"144,000",2008,2021,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),9,9,94.51,"146,500",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(106동),6,09월 01일,153.42,"154,000",2008,2023,37.5735582,126.9677738,서울매동초등학교,449,경복궁역 3호선,579,서서울농협하나로마트 사직점,233,풍림산업,1.11E+13,1,13
사직동,광화문스페이스본(101동~105동),4,9,108.55,"168,000",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),3,9,151.81,"170,000",2008,2021,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),8,9,146.92,"170,000",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),7,9,158.99,"173,000",2008,2022,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),8,9,158.99,"185,000",2008,2022,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),12,9,160.85,"190,000",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(106동),12,09월 01일,163.33,"200,000",2008,2023,37.5735582,126.9677738,서울매동초등학교,449,경복궁역 3호선,579,서서울농협하나로마트 사직점,233,풍림산업,1.11E+13,1,13
사직동,광화문스페이스본(101동~105동),7,9,159.01,"200,000",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
사직동,광화문스페이스본(101동~105동),6,9,159.01,"209,000",2008,2023,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,1.11E+13,5,14
